symbol,side,rate,median_rate,n_positions,rollover_units,total_swap,source
AUDCAD,sell,-0.10500000000000001,-0.13,5,10,-1.05,actual FTMO history 2026
AUDCAD,buy,0.009504950495049506,0.009411764705882354,9,101,0.9600000000000002,actual FTMO history 2026
AUDCHF,sell,-0.19120689655172413,-0.22954545454545455,16,58,-11.09,actual FTMO history 2026
AUDCHF,buy,0.034000000000000016,0.04,15,95,3.2300000000000013,actual FTMO history 2026
AUDJPY,sell,-0.18100000000000008,-0.184,13,40,-7.240000000000003,actual FTMO history 2026
AUDJPY,buy,0.028333333333333335,0.03,15,72,2.04,actual FTMO history 2026
AUDNZD,sell,-0.10112499999999999,-0.10466666666666667,22,160,-16.18,actual FTMO history 2026
AUDNZD,buy,0.008506493506493507,0.008461538461538461,19,154,1.31,actual FTMO history 2026
AUDUSD,sell,-0.10088235294117648,-0.10500000000000001,20,68,-6.86,actual FTMO history 2026
AUDUSD,buy,-0.053989637305699494,-0.053636363636363635,7,193,-10.420000000000002,actual FTMO history 2026
CADCHF,sell,-0.1266863905325444,-0.1404090909090909,30,169,-21.410000000000004,actual FTMO history 2026
CADCHF,buy,0.017804878048780486,0.02,14,41,0.73,actual FTMO history 2026
CADJPY,sell,-0.0806837606837607,-0.0925,14,117,-9.440000000000001,actual FTMO history 2026
CADJPY,buy,0.008333333333333333,0.01,9,12,0.1,actual FTMO history 2026
CHFJPY,sell,0.012435897435897438,0.011111111111111112,14,78,0.9700000000000001,actual FTMO history 2026
CHFJPY,buy,-0.10453551912568305,-0.12,23,183,-19.13,actual FTMO history 2026
EURAUD,sell,0.017950310559006213,0.02,17,161,2.89,actual FTMO history 2026
EURAUD,buy,-0.1796969696969697,-0.20733333333333334,14,33,-5.93,actual FTMO history 2026
EURCAD,sell,-0.05499999999999999,-0.05666666666666667,23,48,-2.6399999999999997,actual FTMO history 2026
EURCAD,buy,-0.03321428571428572,-0.03430769230769231,12,168,-5.58,actual FTMO history 2026
EURCHF,sell,-0.23973451327433629,-0.26416666666666666,22,113,-27.09,actual FTMO history 2026
EURCHF,buy,0.018888888888888886,0.02,15,72,1.3599999999999999,actual FTMO history 2026
EURGBP,sell,0.0024999999999999996,0.002264957264957265,14,88,0.21999999999999997,actual FTMO history 2026
EURGBP,buy,-0.16606299212598424,-0.18712820512820516,12,254,-42.18,actual FTMO history 2026
EURJPY,sell,-0.14510204081632655,-0.16166666666666668,12,49,-7.110000000000001,actual FTMO history 2026
EURJPY,buy,0.012058823529411764,0.012222222222222223,18,136,1.64,actual FTMO history 2026
EURNZD,sell,-0.04120879120879121,-0.0425,13,91,-3.75,actual FTMO history 2026
EURNZD,buy,-0.05726315789473685,-0.04666666666666667,13,190,-10.88,actual FTMO history 2026
EURUSD,sell,0.006315789473684211,0.0075,8,19,0.12000000000000001,actual FTMO history 2026
EURUSD,buy,-0.1644915254237288,-0.16833333333333333,12,118,-19.41,actual FTMO history 2026
GBPAUD,sell,-0.04145251396648045,-0.04057142857142857,9,179,-7.42,actual FTMO history 2026
GBPAUD,buy,-0.116875,-0.11599999999999999,18,48,-5.61,actual FTMO history 2026
GBPCAD,sell,-0.20043269230769228,-0.205,17,208,-41.69,actual FTMO history 2026
GBPCAD,buy,0.005833333333333333,0.005,12,24,0.13999999999999999,actual FTMO history 2026
GBPCHF,sell,-0.45304761904761903,-0.5266666666666667,16,210,-95.14,actual FTMO history 2026
GBPCHF,buy,0.039302325581395355,0.037142857142857144,10,43,1.6900000000000002,actual FTMO history 2026
GBPJPY,sell,-0.2772727272727272,-0.2792682926829268,7,242,-67.1,actual FTMO history 2026
GBPJPY,buy,0.022000000000000002,0.04,19,40,0.8800000000000001,actual FTMO history 2026
GBPNZD,sell,-0.1834939759036145,-0.19568181818181818,12,166,-30.460000000000004,actual FTMO history 2026
GBPNZD,buy,0.0011320754716981133,0.0010714285714285715,7,159,0.18,actual FTMO history 2026
GBPUSD,sell,-0.08525821596244132,-0.0811111111111111,26,213,-18.16,actual FTMO history 2026
GBPUSD,buy,-0.08578512396694214,-0.08666666666666667,9,121,-10.379999999999999,actual FTMO history 2026
NZDCAD,sell,-0.03774193548387097,-0.03944444444444444,19,155,-5.85,actual FTMO history 2026
NZDCAD,buy,-0.026504854368932036,-0.02666666666666667,12,103,-2.7299999999999995,actual FTMO history 2026
NZDCHF,sell,-0.12625641025641027,-0.12903225806451613,12,195,-24.620000000000005,actual FTMO history 2026
NZDCHF,buy,0.008333333333333335,0.007894736842105263,9,108,0.9000000000000001,actual FTMO history 2026
NZDJPY,sell,-0.07254752851711026,-0.07268292682926829,16,263,-19.08,actual FTMO history 2026
NZDJPY,buy,0.0063917525773195885,0.006521739130434782,17,194,1.2400000000000002,actual FTMO history 2026
NZDUSD,sell,-0.0025847457627118644,0.0,19,236,-0.61,actual FTMO history 2026
NZDUSD,buy,-0.08442105263157892,-0.0874074074074074,14,190,-16.039999999999996,actual FTMO history 2026
USDCAD,sell,-0.14425742574257425,-0.1434375,10,202,-29.14,actual FTMO history 2026
USDCAD,buy,0.005616438356164385,0.005555555555555556,14,73,0.4100000000000001,actual FTMO history 2026
USDCHF,sell,-0.2563953488372092,-0.28944444444444445,15,172,-44.09999999999998,actual FTMO history 2026
USDCHF,buy,0.0325925925925926,0.03777777777777778,16,81,2.64,actual FTMO history 2026
USDJPY,sell,-0.20630681818181815,-0.2061111111111111,15,176,-36.309999999999995,actual FTMO history 2026
USDJPY,buy,0.027407407407407408,0.03,13,27,0.74,actual FTMO history 2026
